borough_start,datetime_start,num_trips
Bronx,2024-03-01T00:00:00.000000,2748
Brooklyn,2024-03-01T00:00:00.000000,20068
Manhattan,2024-03-01T00:00:00.000000,56434
Queens,2024-03-01T00:00:00.000000,5728
Bronx,2024-03-02T00:00:00.000000,1010
Brooklyn,2024-03-02T00:00:00.000000,7313
Manhattan,2024-03-02T00:00:00.000000,17450
Queens,2024-03-02T00:00:00.000000,2041
Bronx,2024-03-03T00:00:00.000000,3084
Brooklyn,2024-03-03T00:00:00.000000,30675
Manhattan,2024-03-03T00:00:00.000000,69195
Queens,2024-03-03T00:00:00.000000,7517
Bronx,2024-03-04T00:00:00.000000,3072
Brooklyn,2024-03-04T00:00:00.000000,21566
Manhattan,2024-03-04T00:00:00.000000,63734
Queens,2024-03-04T00:00:00.000000,6194
Bronx,2024-03-05T00:00:00.000000,1623
Brooklyn,2024-03-05T00:00:00.000000,11689
Manhattan,2024-03-05T00:00:00.000000,33309
Queens,2024-03-05T00:00:00.000000,3155
Bronx,2024-03-06T00:00:00.000000,1617
Brooklyn,2024-03-06T00:00:00.000000,12341
Manhattan,2024-03-06T00:00:00.000000,35551
Queens,2024-03-06T00:00:00.000000,3394
Bronx,2024-03-07T00:00:00.000000,2681
Brooklyn,2024-03-07T00:00:00.000000,20661
Manhattan,2024-03-07T00:00:00.000000,63045
Queens,2024-03-07T00:00:00.000000,5844
Bronx,2024-03-08T00:00:00.000000,3301
Brooklyn,2024-03-08T00:00:00.000000,24336
Manhattan,2024-03-08T00:00:00.000000,68290
Queens,2024-03-08T00:00:00.000000,6664
Bronx,2024-03-09T00:00:00.000000,1320
Brooklyn,2024-03-09T00:00:00.000000,11064
Manhattan,2024-03-09T00:00:00.000000,25893
Queens,2024-03-09T00:00:00.000000,3417
Bronx,2024-03-10T00:00:00.000000,1722
Brooklyn,2024-03-10T00:00:00.000000,16334
Manhattan,2024-03-10T00:00:00.000000,38331
Queens,2024-03-10T00:00:00.000000,4674
Bronx,2024-03-11T00:00:00.000000,2570
Brooklyn,2024-03-11T00:00:00.000000,17814
Manhattan,2024-03-11T00:00:00.000000,53438
Queens,2024-03-11T00:00:00.000000,5591
Bronx,2024-03-12T00:00:00.000000,3668
Brooklyn,2024-03-12T00:00:00.000000,25890
Manhattan,2024-03-12T00:00:00.000000,79476
Queens,2024-03-12T00:00:00.000000,7615
Bronx,2024-03-13T00:00:00.000000,3841
Brooklyn,2024-03-13T00:00:00.000000,26827
Manhattan,2024-03-13T00:00:00.000000,79771
Queens,2024-03-13T00:00:00.000000,7546
Bronx,2024-03-14T00:00:00.000000,4321
Brooklyn,2024-03-14T00:00:00.000000,29573
Manhattan,2024-03-14T00:00:00.000000,89357
Queens,2024-03-14T00:00:00.000000,8046
Bronx,2024-03-15T00:00:00.000000,4252
Brooklyn,2024-03-15T00:00:00.000000,29394
Manhattan,2024-03-15T00:00:00.000000,79041
Queens,2024-03-15T00:00:00.000000,8047
Bronx,2024-03-16T00:00:00.000000,3397
Brooklyn,2024-03-16T00:00:00.000000,31041
Manhattan,2024-03-16T00:00:00.000000,68177
Queens,2024-03-16T00:00:00.000000,8442
Bronx,2024-03-17T00:00:00.000000,2816
Brooklyn,2024-03-17T00:00:00.000000,28227
Manhattan,2024-03-17T00:00:00.000000,60368
Queens,2024-03-17T00:00:00.000000,7601
Bronx,2024-03-18T00:00:00.000000,3105
Brooklyn,2024-03-18T00:00:00.000000,21616
Manhattan,2024-03-18T00:00:00.000000,58463
Queens,2024-03-18T00:00:00.000000,6386
Bronx,2024-03-19T00:00:00.000000,3111
Brooklyn,2024-03-19T00:00:00.000000,20768
Manhattan,2024-03-19T00:00:00.000000,59692
Queens,2024-03-19T00:00:00.000000,6008
Bronx,2024-03-20T00:00:00.000000,2985
Brooklyn,2024-03-20T00:00:00.000000,21180
Manhattan,2024-03-20T00:00:00.000000,58955
Queens,2024-03-20T00:00:00.000000,5770
Bronx,2024-03-21T00:00:00.000000,2720
Brooklyn,2024-03-21T00:00:00.000000,19339
Manhattan,2024-03-21T00:00:00.000000,54416
Queens,2024-03-21T00:00:00.000000,5435
Bronx,2024-03-22T00:00:00.000000,2980
Brooklyn,2024-03-22T00:00:00.000000,21700
Manhattan,2024-03-22T00:00:00.000000,52806
Queens,2024-03-22T00:00:00.000000,5951
Bronx,2024-03-23T00:00:00.000000,867
Brooklyn,2024-03-23T00:00:00.000000,6702
Manhattan,2024-03-23T00:00:00.000000,13835
Queens,2024-03-23T00:00:00.000000,1780
Bronx,2024-03-24T00:00:00.000000,1942
Brooklyn,2024-03-24T00:00:00.000000,20990
Manhattan,2024-03-24T00:00:00.000000,42354
Queens,2024-03-24T00:00:00.000000,4992
Bronx,2024-03-25T00:00:00.000000,3147
Brooklyn,2024-03-25T00:00:00.000000,21614
Manhattan,2024-03-25T00:00:00.000000,59287
Queens,2024-03-25T00:00:00.000000,6263
Bronx,2024-03-26T00:00:00.000000,3290
Brooklyn,2024-03-26T00:00:00.000000,24241
Manhattan,2024-03-26T00:00:00.000000,67093
Queens,2024-03-26T00:00:00.000000,6760
Bronx,2024-03-27T00:00:00.000000,3185
Brooklyn,2024-03-27T00:00:00.000000,21805
Manhattan,2024-03-27T00:00:00.000000,61358
Queens,2024-03-27T00:00:00.000000,6232
Bronx,2024-03-28T00:00:00.000000,2048
Brooklyn,2024-03-28T00:00:00.000000,13024
Manhattan,2024-03-28T00:00:00.000000,35328
Queens,2024-03-28T00:00:00.000000,3770
Bronx,2024-03-29T00:00:00.000000,2903
Brooklyn,2024-03-29T00:00:00.000000,25159
Manhattan,2024-03-29T00:00:00.000000,61451
Queens,2024-03-29T00:00:00.000000,6637
Bronx,2024-03-30T00:00:00.000000,2942
Brooklyn,2024-03-30T00:00:00.000000,26553
Manhattan,2024-03-30T00:00:00.000000,57877
Queens,2024-03-30T00:00:00.000000,6583
Bronx,2024-03-31T00:00:00.000000,2724
Brooklyn,2024-03-31T00:00:00.000000,25940
Manhattan,2024-03-31T00:00:00.000000,54440
Queens,2024-03-31T00:00:00.000000,6237
